run_id,transform,condition,severity,accuracy,balanced_accuracy,f1,recall_sensitivity,specificity,ece,auroc,auprc
convnext_tiny_phash_e1,downsample_96,downsample,96.0,0.8571428571428571,0.8697307281409687,0.858036272670419,0.7681970884658454,0.9712643678160919,0.04956783614337651,0.9571475460478048,0.9695132026373323
convnext_tiny_phash_e1,downsample_48,downsample,48.0,0.8634361233480177,0.8753298322843057,0.8651336233685519,0.7793952967525196,0.9712643678160919,0.045359869492858564,0.9594097128367507,0.9713061634441269
convnext_tiny_phash_e1,gaussian_noise_0.02,gaussian_noise,0.02,0.8225298930144745,0.8389356553526148,0.8173575129533679,0.7066069428891377,0.9712643678160919,0.046827260392663564,0.9566294680207488,0.9683469989764196
convnext_tiny_phash_e1,gaussian_noise_0.05,gaussian_noise,0.05,0.8099433606041535,0.8278959274562048,0.8015768725361366,0.683090705487122,0.9727011494252874,0.05461981280690996,0.956882071282388,0.9685191706733651
convnext_tiny_phash_e1,gaussian_noise_0.10,gaussian_noise,0.1,0.7942101950912523,0.814690569049182,0.7800941492938803,0.6494960806270996,0.9798850574712644,0.07459692973798862,0.9564750099754156,0.967781984837963
efficientnet_b0_phash_e1,clean_resize,clean_resize,0.0,0.9634990560100692,0.9605520587970293,0.9680616740088106,0.9843225083986562,0.9367816091954023,0.02660977916080102,0.9972326266877759,0.9982072282595414
efficientnet_b0_phash_e1,center_crop_zoom_1.05,center_crop,1.05,0.8810572687224669,0.8646995791018264,0.9040121889283901,0.9966405375139977,0.7327586206896551,0.10037623357550265,0.9939085608371625,0.995829127967569
efficientnet_b0_phash_e1,center_crop_zoom_1.15,center_crop,1.15,0.8093140339836375,0.7828030273776885,0.8545367258761402,0.9966405375139977,0.5689655172413793,0.17475474883484002,0.9904268190652713,0.9932045645101967
efficientnet_b0_phash_e1,center_crop_zoom_1.30,center_crop,1.3,0.7363121460037759,0.6991527332638272,0.8098048116205174,0.9988801791713325,0.3994252873563218,0.25275409641209745,0.9728765236642596,0.9798473045172614
efficientnet_b0_phash_e1,low_contrast_0.75,low_contrast,0.75,0.9741976085588421,0.9719723005238702,0.9773355444997236,0.9899216125419933,0.9540229885057471,0.01196478044318389,0.9979695202790542,0.9986773756714529
efficientnet_b0_phash_e1,low_contrast_0.55,low_contrast,0.55,0.960352422907489,0.9602881929695846,0.9645868465430016,0.9608062709966405,0.9597701149425287,0.023287799938673713,0.9957524037533304,0.9969709650099547
efficientnet_b0_phash_e1,low_contrast_0.35,low_contrast,0.35,0.9043423536815607,0.9095052837523008,0.9106933019976499,0.8678611422172452,0.9511494252873564,0.05663797262471221,0.972345574133426,0.9725104668482614
efficientnet_b0_phash_e1,high_contrast_1.25,high_contrast,1.25,0.9893014474512272,0.989213679834215,0.9904761904761905,0.9899216125419933,0.9885057471264368,0.009019071095286338,0.9982687827418877,0.9989555130753728
efficientnet_b0_phash_e1,high_contrast_1.50,high_contrast,1.5,0.9893014474512272,0.989213679834215,0.9904761904761905,0.9899216125419933,0.9885057471264368,0.008404832572862566,0.99831383300511,0.9989876705920328
efficientnet_b0_phash_e1,high_contrast_2.00,high_contrast,2.0,0.9823788546255506,0.9843225083986562,0.9840728100113766,0.9686450167973124,1.0,0.017461756049132297,0.9981947715951655,0.9988892611649554
efficientnet_b0_phash_e1,blur_radius_0.5,blur,0.5,0.9565764631843927,0.9518573579951346,0.9624387588459444,0.9899216125419933,0.9137931034482759,0.03379680856947256,0.9973999562368872,0.9982959275582521
efficientnet_b0_phash_e1,blur_radius_1.5,blur,1.5,0.658904971680302,0.610949144688574,0.7667814113597247,0.9977603583426652,0.22413793103448276,0.3216596841325025,0.9108905793463851,0.9357709404224751
efficientnet_b0_phash_e1,blur_radius_3.0,blur,3.0,0.5827564505978603,0.527985867088852,0.7231732776617954,0.9697648376259799,0.08620689655172414,0.39506000398363406,0.47857055514795793,0.6032846069038617
efficientnet_b0_phash_e1,downsample_160,downsample,160.0,0.9074889867841409,0.8958228752365138,0.9232375979112272,0.9899216125419933,0.8017241379310345,0.06602227679312483,0.9958939902948861,0.9974147041350944
efficientnet_b0_phash_e1,downsample_96,downsample,96.0,0.7016991818753934,0.6597997194012176,0.7898936170212766,0.9977603583426652,0.3218390804597701,0.2896256111393305,0.9816741964963767,0.9872852368418296
efficientnet_b0_phash_e1,downsample_48,downsample,48.0,0.5374449339207048,0.491158885842633,0.6774901272487933,0.864501679731243,0.11781609195402298,0.41651481669325185,0.6314695395863099,0.7386858533560557
efficientnet_b0_phash_e1,gaussian_noise_0.02,gaussian_noise,0.02,0.8294524858401511,0.8471549149837175,0.8227599738391105,0.7043673012318029,0.9899425287356322,0.12422272170696842,0.9654963251856714,0.9756313533866712
efficientnet_b0_phash_e1,gaussian_noise_0.05,gaussian_noise,0.05,0.5582127123977344,0.518035390199637,0.6817769718948323,0.8421052631578947,0.1939655172413793,0.3976539055747431,0.43615010104130464,0.4947454051888068
efficientnet_b0_phash_e1,gaussian_noise_0.10,gaussian_noise,0.1,0.47954688483322844,0.4573969314334994,0.5787060621497707,0.6360582306830908,0.27873563218390807,0.42313676148263013,0.4323522029578716,0.5390109803106335
resnet18_phash_e1,clean_resize,clean_resize,0.0,0.9924480805538074,0.9920132319058836,0.9932960893854749,0.9955207166853304,0.9885057471264368,0.018289581576044718,0.9993918214464995,0.9996081596666615
resnet18_phash_e1,center_crop_zoom_1.05,center_crop,1.05,0.8533668974197609,0.8330903836995276,0.8842523596621957,0.9966405375139977,0.6695402298850575,0.08686323339281321,0.9943204489580517,0.9959617004211532
resnet18_phash_e1,center_crop_zoom_1.15,center_crop,1.15,0.7589679043423537,0.7253317630098725,0.8229311141932502,0.9966405375139977,0.4540229885057471,0.18496572409722495,0.9864205635144354,0.9901276454119187
resnet18_phash_e1,center_crop_zoom_1.30,center_crop,1.3,0.6916299559471366,0.6483054665276544,0.784330985915493,0.9977603583426652,0.2988505747126437,0.2638202362226133,0.9757887013939839,0.9822306774675762
resnet18_phash_e1,low_contrast_0.75,low_contrast,0.75,0.9880427942101951,0.9868260158834357,0.9894385769872152,0.9966405375139977,0.9770114942528736,0.021762730304797633,0.9992663242846662,0.999515102292738
resnet18_phash_e1,low_contrast_0.55,low_contrast,0.55,0.9716803020767778,0.9681478549638954,0.9753424657534246,0.9966405375139977,0.9396551724137931,0.03315851833865337,0.9991697880063328,0.9994627232105352
resnet18_phash_e1,low_contrast_0.35,low_contrast,0.35,0.9238514789175583,0.9135501538144701,0.9363492898474487,0.9966405375139977,0.8304597701149425,0.03461322985159302,0.9970138111235536,0.9978459841170721
resnet18_phash_e1,high_contrast_1.25,high_contrast,1.25,0.986784140969163,0.9869740381768802,0.9882088714205502,0.9854423292273237,0.9885057471264368,0.01581187066008866,0.9989670618218325,0.9993247396182778
resnet18_phash_e1,high_contrast_1.50,high_contrast,1.5,0.9886721208307111,0.9899216125419933,0.9898190045248869,0.9798432250839866,1.0,0.014193565979502921,0.9987064138703325,0.9991542823383313
resnet18_phash_e1,high_contrast_2.00,high_contrast,2.0,0.973568281938326,0.9742650371342885,0.9762979683972912,0.9686450167973124,0.9798850574712644,0.014407920828947787,0.9976541684364985,0.9984472258250603
resnet18_phash_e1,blur_radius_0.5,blur,0.5,0.9288860918816866,0.9189803194707238,0.9404322614654718,0.9988801791713325,0.8390804597701149,0.024808425557388717,0.9994754862210552,0.999628507983658
resnet18_phash_e1,blur_radius_1.5,blur,1.5,0.5645059786028949,0.5028735632183908,0.7207425343018563,1.0,0.005747126436781609,0.39643872268099395,0.95333758092958,0.963458090038277
resnet18_phash_e1,blur_radius_3.0,blur,3.0,0.5670232850849591,0.5057471264367817,0.7219078415521423,1.0,0.011494252873563218,0.3334410234094791,0.9841423073457671,0.9885412332810122
resnet18_phash_e1,downsample_160,downsample,160.0,0.7394587791063562,0.7025862068965517,0.8118181818181818,1.0,0.4051724137931034,0.19459268982217998,0.9989574081939993,0.9992247167351638
resnet18_phash_e1,downsample_96,downsample,96.0,0.5670232850849591,0.5057471264367817,0.7219078415521423,1.0,0.011494252873563218,0.395186696433661,0.9574886408979162,0.9590173236943189
resnet18_phash_e1,downsample_48,downsample,48.0,0.5619886721208307,0.5,0.7195809830781628,1.0,0.0,0.37890127280585195,0.986352988119602,0.9904605538717659
resnet18_phash_e1,gaussian_noise_0.02,gaussian_noise,0.02,0.9653870358716173,0.9609639469179184,0.9700272479564033,0.9966405375139977,0.9252873563218391,0.01509028913137793,0.9960661466579139,0.9969705473880895
resnet18_phash_e1,gaussian_noise_0.05,gaussian_noise,0.05,0.7728130899937067,0.7406609195402298,0.831858407079646,1.0,0.4813218390804598,0.12804711427506765,0.9814779060637655,0.9848851884596789
resnet18_phash_e1,gaussian_noise_0.10,gaussian_noise,0.1,0.5651353052234109,0.5035919540229885,0.7210335082761405,1.0,0.007183908045977011,0.3715325628458291,0.8138450721447787,0.8644554609754512
simclr_resnet18_phash_e25_finetune_50pct_e10,clean_resize,clean_resize,0.0,0.9704216488357458,0.9667110733547,0.9742747673782156,0.9966405375139977,0.9367816091954023,0.019667967747781998,0.9990829053558327,0.9993938917470722
simclr_resnet18_phash_e25_finetune_50pct_e10,center_crop_zoom_1.05,center_crop,1.05,0.7916928886091882,0.7626880848489529,0.8432022738038845,0.9966405375139977,0.5287356321839081,0.1272846978548105,0.9956590853509415,0.9972999120456925
simclr_resnet18_phash_e25_finetune_50pct_e10,center_crop_zoom_1.15,center_crop,1.15,0.7186910006293267,0.6790377907350915,0.7996414164051995,0.9988801791713325,0.35919540229885055,0.21824644785491626,0.990121120850549,0.9932523506105781
simclr_resnet18_phash_e25_finetune_50pct_e10,center_crop_zoom_1.30,center_crop,1.3,0.6828193832599119,0.6379310344827587,0.7799126637554585,1.0,0.27586206896551724,0.2711791517887009,0.9663410176210886,0.9729938134267011
simclr_resnet18_phash_e25_finetune_50pct_e10,low_contrast_0.75,low_contrast,0.75,0.948395217117684,0.9417258755840445,0.9559139784946237,0.9955207166853304,0.8879310344827587,0.02525584284462547,0.997203665804276,0.9984188867777501
simclr_resnet18_phash_e25_finetune_50pct_e10,low_contrast_0.55,low_contrast,0.55,0.8653241032095658,0.8481661324992599,0.8917004048582996,0.986562150055991,0.7097701149425287,0.07001628424281825,0.983672497457878,0.9887499351379309
simclr_resnet18_phash_e25_finetune_50pct_e10,low_contrast_0.35,low_contrast,0.35,0.6211453744493393,0.5691135395348238,0.745777027027027,0.9888017917133258,0.14942528735632185,0.2766005941602191,0.9361412518824576,0.9599141853927399
simclr_resnet18_phash_e25_finetune_50pct_e10,high_contrast_1.25,high_contrast,1.25,0.9880427942101951,0.9868260158834357,0.9894385769872152,0.9966405375139977,0.9770114942528736,0.019866391498293008,0.9995848940031664,0.9996984761541646
simclr_resnet18_phash_e25_finetune_50pct_e10,high_contrast_1.50,high_contrast,1.5,0.9855254877281309,0.9845863742261008,0.9871866295264624,0.9921612541993281,0.9770114942528736,0.014765115580219647,0.9991858773860549,0.9994013391840277
simclr_resnet18_phash_e25_finetune_50pct_e10,high_contrast_2.00,high_contrast,2.0,0.9767149150409062,0.9780154715475409,0.9790368271954675,0.9675251959686451,0.9885057471264368,0.015000924611856242,0.9954209625310526,0.9970987783395449
simclr_resnet18_phash_e25_finetune_50pct_e10,blur_radius_0.5,blur,0.5,0.7451227186910007,0.7092102045281949,0.8149840109639105,0.9988801791713325,0.41954022988505746,0.15237774918778388,0.996634101762109,0.9979069466330333
simclr_resnet18_phash_e25_finetune_50pct_e10,blur_radius_1.5,blur,1.5,0.5645059786028949,0.5028735632183908,0.7207425343018563,1.0,0.005747126436781609,0.4232294480330994,0.9900921599670489,0.9943618950318605
simclr_resnet18_phash_e25_finetune_50pct_e10,blur_radius_3.0,blur,3.0,0.5619886721208307,0.5,0.7195809830781628,1.0,0.0,0.4234580676686171,0.9753446345136503,0.9841830131397087
